time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2017/7/17 11:37,0,0.581424177,0.411545902,0
2017/7/17 18:15,0.5401465,0,0.44317323,0
2017/7/18 6:40,0,0.2803202,0.706632316,0
2017/7/18 10:19,0.19287121,0.566514552,0.226064742,0
2017/7/18 12:06,0,0.964242399,0,0
2017/7/19 16:32,0,0.654397786,0.334120035,0
2017/7/20 16:53,0,0.19703035,0.533526331,0.26580656
2017/7/21 2:21,0.2430478,0.192617834,0.559087276,0
2017/7/23 10:50,0,0.192240074,0.756156906,0.04562922
2017/7/24 7:21,0.18412095,0.134205818,0.672438204,0
2017/7/25 14:48,0,0.8478221,0.135676578,0
2017/7/26 11:12,0,0.414520621,0.57455413,0
2017/7/28 7:43,0.49045798,0.493433416,0,0
2017/7/29 18:26,0.050044987,0.22930488,0.719496131,0
2017/8/1 10:30,0.24239843,0,0.455862343,0.2965315
2017/8/2 10:29,0.48607647,0,0.4873043,0
2017/8/3 10:55,0,0.817358434,0.176338881,0
2017/8/3 22:21,0,0.11615664,0.882032871,0
2017/8/4 7:14,0.23710503,0.3341552,0.421489984,0
2017/8/4 12:56,0.079191245,0.748849452,0.081393175,0.08293261
2017/8/5 13:22,0.24287763,0.277901322,0.459940702,0
2017/8/7 6:00,0,0.245609954,0.727181479,0
2017/8/7 10:01,0,0.504648685,0.482295491,0
2017/8/7 11:11,0,0.749667823,0.123416096,0.12212087
2017/8/8 5:39,0,0.047788173,0.943851113,0
2017/8/8 6:47,0,0.574950874,0.42219305,0
2017/8/8 13:34,0,0.27797237,0.716919601,0
2017/8/8 16:29,0.4787046,0.379060239,0.121887349,0
2017/8/9 12:31,0,0,0.588336051,0.37383026
2017/8/10 9:40,0,0.3367998,0.655840974,0
2017/8/14 7:25,0,0.676642239,0.29975152,0
2017/8/14 22:43,0,0.106993698,0.513106704,0.37386927
2017/8/15 23:10,0.0431984,0.570279837,0.383022547,0
2017/8/16 10:48,0,0.111529857,0.875724435,0
2017/8/16 13:09,0.284326,0.136463851,0.574168332,0
2017/8/17 8:51,0.41648743,0.446637928,0.081901528,0.051463053
2017/8/17 12:21,0.18388309,0.37539047,0.435172766,0
2017/8/21 10:07,0,0.433414549,0.556324184,0
2017/8/22 3:25,0.5952797,0.35277858,0.042193763,0
2017/8/23 4:40,0.078937225,0.443954021,0.468344629,0
2017/8/23 9:29,0.051635634,0.6189996,0,0.31794056
2017/8/23 12:34,0,0.23888962,0.753560454,0
2017/8/23 13:02,0,0,0.992433608,0
2017/8/24 10:48,0.19158453,0.73933059,0.062198162,0
2017/8/24 14:15,0,0.5453936,0.384626508,0.06391219
2017/8/25 8:45,0.21480854,0.761534154,0.019662095,0
