time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2018/8/28 21:29,0,0.985556722,0,0
2018/8/30 15:18,0.523763597,0,0.469195932,0
2018/8/31 13:20,0,0.235586837,0.751692474,0
2018/9/7 21:53,0.643651307,0,0.353314996,0
2018/9/11 9:47,0.995373666,0,0,0
2018/9/11 22:56,0,0,0.99563852,0
2018/9/12 2:07,0,0,0,0.9961093
2018/9/14 21:57,0.813582838,0.177950859,0,0
2018/9/17 7:31,0.834026933,0,0,0.15451993
2018/9/17 17:57,0.114569604,0.872479796,0,0
2018/9/18 11:22,0.393028885,0.128684714,0.175647199,0.29291415
2018/9/21 9:55,0,0,0.990966916,0
2018/9/25 20:45,0,0,0,0.9860005
2018/9/27 10:27,0.446122706,0.541530013,0,0
2018/10/1 3:48,0,0,0.981598496,0
2018/10/3 16:09,0,0,0.992484838,0
2018/10/4 4:12,0,0,0.988332808,0
2018/10/4 11:42,0,0,0.645845532,0.34136713
2018/10/5 14:24,0.992861271,0,0,0
2018/10/7 15:01,0,0.194851846,0.79659909,0
2018/10/8 5:23,0,0,0.987893045,0
2018/10/8 10:30,0,0,0.97642529,0
2018/10/10 15:04,0.319261283,0,0.677595317,0
2018/10/11 11:57,0,0,0.995069563,0
2018/10/11 15:24,0,0,0.195472568,0.79822224
2018/10/12 16:22,0.816569507,0,0.178414881,0
2018/10/12 21:37,0,0,0.985211253,0
2018/10/13 20:11,0.055809949,0.369150847,0.144834951,0.42763758
2018/10/15 5:12,0,0,0.993204534,0
2018/10/16 18:40,0.6608338,0,0,0.3316436
2018/10/18 18:31,0,0,0.358279228,0.6402297
2018/10/22 21:27,0,0,0.987986714,0
2018/10/25 21:25,0.9873184,0,0,0
2018/10/29 16:38,0.557206631,0,0.433008283,0
2018/10/31 12:54,0,0.530915558,0.463986248,0
2018/11/1 22:33,0.139970943,0,0.845458448,0
2018/11/8 8:33,0,0,0.986341655,0
2018/11/11 8:54,0,0.477497727,0.510302275,0
2018/11/12 15:04,0.366180032,0.333321542,0,0.289477
2018/11/13 19:07,0,0.702632606,0,0.28961563
2018/11/14 19:30,0.638151705,0.35435757,0,0
2018/11/20 9:36,0,0.99044621,0,0
2018/11/20 20:05,0.043358963,0.39417544,0.388300806,0.17164949
2018/11/21 6:12,0.32369113,0.398269415,0.272892177,0
2018/11/21 13:59,0.188136801,0.29175961,0,0.51352084
2018/11/21 15:32,0.395179302,0,0.320964992,0.27980807
2018/11/22 7:51,0,0.994303107,0,0
2018/11/22 9:21,0.366860598,0.16343078,0.463858917,0
2018/11/22 20:09,0,0,0.992863029,0
2018/11/23 11:55,0,0,0.991576493,0
2018/11/28 2:58,0.09476579,0.803398371,0.098314546,0
2018/11/28 9:56,0,0,0.256156832,0.73954016
2018/11/28 12:43,0,0.262561321,0.467637032,0.26222977
2018/11/30 17:28,0,0,0.371725261,0.62113225
2018/12/1 9:48,0,0.992074788,0,0
2018/12/3 10:56,0,0,0.989129543,0
2018/12/3 18:59,0,0.053156152,0.319580525,0.62222147
2018/12/5 11:33,0,0,0.98545754,0
2018/12/5 17:17,0,0.849188447,0,0.14090669
2018/12/7 12:05,0,0.9944856,0,0
2018/12/10 15:45,0,0,0.987416863,0
2018/12/10 21:16,0,0.989920855,0,0
2018/12/11 21:59,0,0,0.992959499,0
2018/12/12 8:44,0,0.132213637,0.862733483,0
2018/12/17 11:58,0.435451746,0,0.550817251,0
2018/12/18 2:49,0,0.70916736,0,0.28490165
2018/12/18 12:42,0,0,0.755706072,0.22912516
2018/12/18 18:13,0,0,0.986247301,0
2018/12/21 10:51,0,0,0.992504954,0
2018/12/23 15:12,0,0.393456876,0.602365017,0
2018/12/25 10:35,0,0,0,0.96217906
2019/1/2 11:02,0,0.175972849,0.819982767,0
2019/1/4 9:52,0.306174546,0,0.685822546,0
2019/1/4 13:42,0,0,0.990107834,0
2019/1/6 20:32,0,0,0,0.9974306
2019/1/9 9:38,0,0,0.726596951,0.26949942
2019/1/9 12:43,0,0,0.98128587,0
2019/1/10 13:28,0.99313271,0,0,0
2019/1/10 13:30,0,0,0.996826231,0
2019/1/11 9:59,0.312336266,0.684136212,0,0
2019/1/13 16:49,0,0,0,0.9859978
2019/1/16 3:51,0.186978325,0,0.803514659,0
2019/1/16 21:33,0.616318762,0,0.376911998,0
2019/1/17 11:06,0,0,0.977804601,0
2019/1/18 0:31,0,0.9965808,0,0
2019/1/18 21:44,0.363028109,0,0.382420152,0.2445047
2019/1/22 12:10,0,0,0.993900359,0
2019/1/23 11:46,0.311955869,0,0.684147775,0
2019/1/25 9:33,0,0,0.997121871,0
2019/1/28 12:14,0.746877611,0,0.218959764,0
2019/1/29 15:56,0,0,0.581353724,0.4125956
2019/1/31 10:33,0.161841914,0,0.663811684,0.16852787
2019/2/1 21:43,0.324601203,0,0.669885218,0
2019/2/4 21:30,0,0,0.985513687,0
2019/2/6 19:18,0,0,0.988957696,0
2019/2/6 21:12,0,0,0.995394051,0
2019/2/7 3:22,0.668146491,0,0.294465111,0
2019/2/7 6:53,0,0,0.989829212,0
2019/2/7 17:36,0,0.491026729,0,0.5019051
