time,Installation and Configuration,Data Collection,Data Processing,Operation and Maintenance
2020/1/23 11:13,0,0,0,0.99641639
2020/1/24 3:49,0,0.994076908,0,0
2020/1/26 0:22,0,0.986889243,0,0
2020/2/4 19:35,0,0.996903539,0,0
2020/2/7 14:24,0,0.275727391,0,0.717792094
2020/2/11 14:01,0,0.992168128,0,0
2020/2/13 21:46,0,0.987072408,0,0
2020/2/18 23:28,0,0,0.9907419,0
2020/2/20 19:07,0,0,0,0.996672571
2020/2/24 4:07,0.928173,0,0.06859377,0
2020/2/26 12:02,0,0.608681396,0,0.387575775
2020/2/29 13:04,0.9925736,0,0,0
2020/3/2 15:22,0,0.250050873,0,0.747084677
2020/3/3 23:17,0,0.996069372,0,0
2020/3/6 9:17,0,0.997081876,0,0
2020/3/10 10:46,0,0.977605045,0,0
2020/3/12 23:04,0,0.992178015,0,0
2020/3/17 1:33,0,0.996663272,0,0
2020/3/18 23:31,0,0,0,0.992374778
2020/3/24 10:16,0,0,0,0.987410724
2020/3/30 22:13,0.5493763,0,0.4422256,0
2020/4/3 11:06,0,0,0.9938805,0
2020/4/8 0:26,0.38369173,0,0.60423684,0
2020/4/8 1:29,0,0.994157493,0,0
2020/4/8 2:37,0,0.690024495,0,0.299981922
2020/4/8 18:55,0,0.308690876,0.6874813,0
2020/4/10 20:59,0,0.996420383,0,0
2020/4/13 15:30,0,0.571281731,0,0.418414831
2020/4/24 9:48,0.9968906,0,0,0
2020/4/29 0:25,0,0.993488967,0,0
2020/4/29 20:40,0,0.370164961,0,0.62179625
2020/4/30 10:43,0,0,0,0.98883724
2020/5/3 15:00,0.2228103,0.627110749,0,0.14513433
2020/5/6 19:54,0,0.991060853,0,0
2020/5/8 13:00,0,0.988231838,0,0
2020/5/13 8:32,0,0.995650291,0,0
2020/5/15 10:55,0.987085,0,0,0
2020/5/19 10:19,0,0.613774717,0,0.382672042
2020/5/19 21:19,0,0.609479189,0.38110745,0
2020/5/23 12:17,0,0,0,0.994480848
2020/5/27 11:42,0,0,0.9953455,0
2020/5/28 2:46,0.37032005,0,0.62624526,0
2020/5/28 20:50,0,0,0.9949755,0
2020/5/29 18:10,0.99188364,0,0,0
2020/5/29 21:16,0,0.060642794,0,0.929811358
2020/5/31 23:30,0,0.996344984,0,0
