,0,1,2,3
view_count,463.47 ,645.45 ,531.07 ,384.94 
answer_count,0.98 ,1.03 ,1.08 ,0.97 
comment_count,1.09 ,0.99 ,0.85 ,0.77 
favorite_count,1.10 ,1.07 ,0.98 ,0.71 
score,0.37 ,0.30 ,0.28 ,0.26 
mcdm,0.50 ,0.59 ,0.59 ,0.00 
